,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
354,0.986080757,0.980787488,0.758760447,0.620323594
355,0.986261958,0.981045435,0.75772502,0.620267545
356,0.986084455,0.980801902,0.75862732,0.62096999
357,0.986432066,0.981286818,0.756955846,0.617251741
358,0.986191697,0.980949757,0.756955846,0.616698159
359,0.986095549,0.980812998,0.756467717,0.61661699
360,0.986228676,0.981002326,0.755535833,0.615999442
361,0.985925441,0.980578264,0.75805044,0.619489613
362,0.986169509,0.980920898,0.755047704,0.615134331
363,0.986117737,0.980851628,0.756452925,0.617795213
364,0.986058569,0.980761773,0.757296058,0.618489583
365,0.986054871,0.980752643,0.756911471,0.618346493
366,0.986139925,0.980870914,0.758168774,0.619374665
367,0.986302636,0.98110686,0.755654168,0.615363122
368,0.98631373,0.981118985,0.756970638,0.61813787
369,0.986402482,0.981240274,0.758272317,0.620059518
370,0.986417274,0.981264506,0.756793137,0.618408838
371,0.986702019,0.981662417,0.758597737,0.623216512
372,0.986128831,0.980861952,0.755077287,0.613780556
373,0.986128831,0.98086898,0.756097922,0.616186774
374,0.985773823,0.980364134,0.756290215,0.617068749
375,0.986036381,0.980738232,0.755461874,0.615677887
376,0.986121435,0.980847448,0.758819614,0.621333519
377,0.986195395,0.980950486,0.757621478,0.620413269
378,0.986361804,0.981187321,0.755432291,0.615881424
379,0.986576288,0.981488092,0.757133348,0.618827626
380,0.986339616,0.981150176,0.75879003,0.621392584
381,0.986003099,0.980686509,0.756216256,0.617281657
382,0.986287844,0.98108144,0.757591894,0.618777333
383,0.98642467,0.981279482,0.756837512,0.619159041
384,0.986650248,0.981593653,0.755313956,0.615749129
385,0.986417274,0.981266226,0.755654168,0.616417044
386,0.98640618,0.981251211,0.756586051,0.617817827
387,0.986173207,0.980931933,0.757798979,0.619492471
388,0.9863692,0.981194261,0.755831669,0.616535415
389,0.986128831,0.980863319,0.755698543,0.616495611
390,0.986273052,0.981069917,0.758967532,0.621706326
391,0.986180603,0.9809363,0.755979587,0.617744514
392,0.986487536,0.98137007,0.756068338,0.617954361
393,0.98638769,0.981219675,0.757932106,0.619993034
394,0.985818199,0.980431777,0.757192515,0.619008936
395,0.986287844,0.981085493,0.756260632,0.617626584
396,0.986036381,0.980727811,0.757547519,0.618911441
397,0.98638769,0.981228103,0.75698543,0.618825549
398,0.986428368,0.981280095,0.757798979,0.620251403
